,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release date,artist popularity
9684,0.8340000000000001,0.613,11.0,-3.987,0.0,0.276,0.008490000000000001,6.61e-05,0.171,0.378,124.032,220645.0,2018-04-20,[50]
9685,0.276,0.101,6.0,-21.097,0.0,0.0419,0.96,0.933,0.0979,0.184,147.142,144987.0,2017-01-17,[26]
9686,0.426,0.0211,7.0,-27.999,1.0,0.0491,0.841,0.937,0.107,0.256,66.268,71324.0,2017-10-01,[40]
9687,0.6509999999999999,0.209,11.0,-15.782,1.0,0.202,0.915,0.28600000000000003,0.108,0.56,139.935,115661.0,2017-08-06,[38]
9688,0.406,0.897,7.0,-3.425,1.0,0.037000000000000005,4.33e-05,1.83e-05,0.302,0.6709999999999999,165.02700000000004,189253.0,2003-01-01,[15]
9689,0.563,0.199,11.0,-13.454,0.0,0.327,0.812,0.893,0.116,0.0767,75.319,128142.0,2020-08-04,[62]
9690,0.569,0.6729999999999999,11.0,-10.181,0.0,0.0381,0.0918,0.0,0.262,0.752,172.64,229133.0,1989-10-01,[57]
9691,0.5820000000000001,0.8859999999999999,5.0,-9.11,0.0,0.0291,0.000239,0.779,0.135,0.446,89.96700000000001,128479.0,2019-11-07,[35]
9692,0.505,0.608,7.0,-11.661,1.0,0.389,0.0674,0.0,0.0847,0.527,86.18700000000003,229547.0,2019-04-19,"[50, 1]"
9693,0.75,0.218,4.0,-17.599,0.0,0.0477,0.925,0.708,0.102,0.65,125.997,129567.0,2020-11-22,[29]
9694,0.369,0.17600000000000002,4.0,-17.722,0.0,0.036000000000000004,0.688,0.8759999999999999,0.218,0.0751,173.43,298600.0,1999-04-05,"[47, 50]"
9695,0.5870000000000001,0.404,5.0,-11.472,0.0,0.222,0.971,0.000559,0.113,0.502,118.681,145335.0,2020-05-29,[43]
9696,0.481,0.644,2.0,-7.74,1.0,0.0404,2.48e-05,0.8370000000000001,0.345,0.0812,170.025,331622.0,2019-05-10,"[52, 52]"
9697,0.468,0.624,2.0,-8.704,1.0,0.031,0.115,0.933,0.117,0.0738,139.94299999999998,296453.0,2019-11-15,[75]
9698,0.6509999999999999,0.82,2.0,-8.737,1.0,0.0447,8.28e-05,0.823,0.0737,0.42,123.008,630047.0,2018-11-02,"[0, 0, 2, 0]"
9699,0.7120000000000001,0.693,0.0,-5.567,1.0,0.153,0.408,0.0,0.092,0.14,140.007,250122.0,2018-08-03,[39]
9700,0.718,0.328,7.0,-14.402,1.0,0.17800000000000002,0.13,0.000605,0.145,0.159,143.903,133026.0,2020-10-11,[20]
9701,0.456,0.444,7.0,-14.79,1.0,0.0626,0.0197,0.853,0.0558,0.362,127.009,726765.0,2015-11-29,[0]
9702,0.475,0.691,4.0,-16.072,1.0,0.0316,0.0008410000000000001,0.8420000000000001,0.272,0.486,109.961,137482.0,2020-08-14,[49]
9703,0.782,0.5589999999999999,6.0,-7.106,0.0,0.0767,0.125,0.0,0.385,0.685,129.99200000000002,188344.0,2020-08-21,[89]
9704,0.396,0.0354,9.0,-21.825,0.0,0.0452,0.981,0.698,0.0971,0.0936,98.226,191240.0,2009-06-15,[5]
9705,0.541,0.636,11.0,-5.7970000000000015,1.0,0.0231,0.063,0.0016,0.317,0.594,80.03699999999998,213381.0,2018-08-23,[52]
9706,0.381,0.903,4.0,-5.4910000000000005,0.0,0.0968,7.01e-05,0.191,0.401,0.456,151.983,196437.0,2019-01-11,[18]
9707,0.647,0.77,6.0,-7.81,0.0,0.0266,0.00022200000000000006,0.051,0.256,0.654,106.025,184323.0,2019-11-08,[54]
9708,0.444,0.561,7.0,-9.411,0.0,0.279,0.526,0.0,0.14,0.3,77.60300000000002,353013.0,2012-04-09,[59]
9709,0.153,0.189,5.0,-19.068,1.0,0.0333,0.579,0.899,0.298,0.0369,73.426,465133.0,2000-01-01,[27]
9710,0.226,0.0217,2.0,-31.922,0.0,0.0528,0.995,0.8690000000000001,0.0751,0.111,67.896,272934.0,2020-11-15,"[77, 49]"
9711,0.58,0.493,5.0,-7.922999999999999,0.0,0.048,0.795,0.0,0.522,0.354,116.347,178678.0,1987-06-05,[0]
9712,0.5379999999999999,0.0444,2.0,-13.977,1.0,0.0529,0.928,0.823,0.114,0.17,132.07399999999998,207550.0,2020-06-26,[36]
9713,0.239,0.0217,2.0,-31.922,0.0,0.0476,0.995,0.8690000000000001,0.0751,0.117,177.305,272934.0,2020-11-08,"[77, 49]"
9714,0.595,0.379,10.0,-12.058,0.0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,279333.0,1973,[65]
9715,0.7140000000000001,0.222,2.0,-14.85,1.0,0.0515,0.307,0.154,0.0728,0.444,85.995,215813.0,2020-10-16,[]
9716,0.301,0.0403,8.0,-22.582,1.0,0.06,0.994,0.916,0.086,0.0891,67.672,309485.0,2017-12-20,[26]
9717,0.0877,0.00787,9.0,-29.89,0.0,0.0416,0.991,0.853,0.0862,0.0456,72.89699999999998,143107.0,2013-07-10,"[48, 55]"
9718,0.498,0.932,1.0,-9.412,1.0,0.8420000000000001,0.705,0.0,0.915,0.29600000000000004,98.854,210168.0,2018-08-03,[30]
9719,0.491,0.867,11.0,-7.234,0.0,0.0312,4.620000000000001e-05,0.625,0.132,0.383,140.002,394286.0,2011-03-14,[3]
9720,0.3670000000000001,0.209,3.0,-9.782,1.0,0.0377,0.995,0.845,0.13,0.0304,129.619,114462.0,2018-06-29,[2]
9721,0.401,0.698,11.0,-5.235,1.0,0.0473,4.22e-05,0.0327,0.183,0.199,159.865,314379.0,2014-04-29,[10]
9722,0.415,0.625,7.0,-10.436,1.0,0.0412,0.0326,0.00271,0.18,0.728,79.47399999999998,176400.0,1966-08-15,[66]
9723,0.568,0.5579999999999999,5.0,-9.839,1.0,0.0338,0.959,0.895,0.107,0.28800000000000003,121.985,212506.0,2020-06-07,[7]
9724,0.411,0.662,4.0,-6.14,0.0,0.0358,0.509,0.00808,0.379,0.873,104.183,173627.0,2001-01-01,[2]
9725,0.6559999999999999,0.879,2.0,-6.903,1.0,0.0359,0.0331,0.0814,0.0983,0.754,171.988,153941.0,2014-08-08,[28]
9726,0.34600000000000003,0.911,2.0,-6.077000000000001,0.0,0.15,0.0086,0.428,0.664,0.0928,117.327,286045.0,2016-02-01,[0]
9727,0.779,0.7170000000000001,11.0,-6.394,0.0,0.376,0.0496,0.0,0.106,0.534,175.047,158798.0,2020-11-11,[90]
9728,0.4320000000000001,0.583,8.0,-10.324000000000002,1.0,0.0448,0.0142,0.409,0.159,0.139,144.935,241573.0,2013-01-01,[69]
9729,0.586,0.442,5.0,-12.857,0.0,0.251,0.989,2.48e-05,0.104,0.769,185.508,63191.0,2012-12-04,[27]
9730,0.502,0.952,4.0,-2.352,0.0,0.0736,0.0005200000000000001,0.948,0.208,0.609,138.05,402197.0,2014-06-07,[0]
9731,0.8190000000000001,0.529,5.0,-8.131,1.0,0.0912,0.0107,0.0,0.119,0.229,130.983,219888.0,2016-08-11,[13]
9732,0.531,0.5920000000000001,10.0,-7.134,1.0,0.0396,0.126,0.0,0.585,0.312,150.043,246440.0,2013-01-21,[80]
9733,0.617,0.131,11.0,-12.775,1.0,0.0331,0.903,0.000536,0.105,0.394,129.31,197253.0,2012-08-28,[43]
9734,0.484,0.419,11.0,-16.445999999999998,1.0,0.0384,0.00727,0.00194,0.0606,0.752,129.936,164259.0,2020-09-21,[39]
9735,0.5329999999999999,0.708,8.0,-7.644,1.0,0.439,0.264,5e-06,0.19,0.157,144.524,163893.0,2020-02-10,[18]
9736,0.602,0.62,3.0,-6.96,0.0,0.13,0.00908,0.0,0.163,0.79,150.328,120033.0,2019-01-02,[45]
